shoe size,height,class
8.5,66.5,seniors
10.3,62.5,seniors
7.4,67.1,seniors
9.5,61.7,seniors
10.9,68.6,seniors
8.3,69.5,seniors
6.8,73.1,seniors
8.9,57.1,seniors
10.0,59.599999999999994,seniors
9.2,66.9,seniors
10.5,58.2,seniors
10.5,64.4,seniors
10.1,66.9,seniors
11.0,68.3,seniors
9.3,60.900000000000006,seniors
9.7,64.8,seniors
8.5,58.2,seniors
10.5,60.400000000000006,seniors
9.6,62.2,seniors
9.3,67.6,seniors
10.9,66.1,seniors
8.3,60.900000000000006,seniors
9.6,64.4,seniors
9.1,70.7,seniors
10.8,63.900000000000006,seniors
10.4,65.7,seniors
11.4,61.8,seniors
12.2,62.0,seniors
7.4,61.8,seniors
7.9,64.5,seniors
8.2,58.7,seniors
12.9,61.8,seniors
10.3,58.8,seniors
9.5,65.9,seniors
7.2,64.7,seniors
10.6,67.0,seniors
10.5,62.3,seniors
10.2,62.5,seniors
11.1,60.2,seniors
11.6,65.8,seniors
8.9,62.900000000000006,seniors
8.3,66.8,seniors
10.0,62.8,seniors
9.4,62.900000000000006,seniors
8.7,63.2,seniors
8.4,67.7,seniors
9.9,61.0,seniors
14.3,61.400000000000006,seniors
10.2,65.1,seniors
9.4,62.8,seniors
10.2,63.900000000000006,seniors
9.7,62.599999999999994,seniors
7.7,60.5,seniors
9.6,65.2,seniors
10.4,64.3,seniors
9.6,62.5,seniors
11.3,62.400000000000006,seniors
12.5,65.5,seniors
8.2,68.3,seniors
9.7,57.7,seniors
10.4,62.2,seniors
9.0,65.6,seniors
10.1,62.900000000000006,seniors
9.8,60.3,seniors
9.2,67.6,seniors
10.7,61.0,seniors
12.1,59.5,seniors
10.7,61.099999999999994,seniors
9.6,61.0,seniors
9.6,64.0,seniors
10.2,66.2,seniors
11.3,63.400000000000006,seniors
11.2,60.099999999999994,seniors
12.2,65.6,seniors
11.2,68.4,seniors
10.7,62.0,seniors
10.5,65.6,seniors
8.6,65.0,seniors
10.1,65.8,seniors
8.9,65.7,seniors
9.2,59.0,seniors
8.8,62.0,seniors
10.4,61.0,seniors
10.7,65.2,seniors
11.3,62.3,seniors
12.1,63.5,seniors
9.6,65.3,seniors
11.2,60.2,seniors
11.9,64.5,seniors
11.0,59.599999999999994,seniors
9.4,68.3,seniors
8.9,58.400000000000006,seniors
8.7,62.3,seniors
11.9,64.6,seniors
8.7,62.0,seniors
9.7,63.900000000000006,seniors
9.5,58.900000000000006,seniors
8.6,64.2,seniors
9.7,60.0,seniors
10.0,59.099999999999994,seniors
13.3,65.2,seniors
10.5,65.5,seniors
9.2,66.1,seniors
9.0,66.3,seniors
10.9,68.1,seniors
11.1,58.900000000000006,seniors
