"ppm","eng_sp1","eng_sp2","eng_sp3","eng_sp4","eng_sp5","fuel_sp1","fuel_sp2","fuel_sp3","fuel_sp4","fuel_sp5","gear_sp1","gear_sp2","gear_sp3","gear_sp4","gear_sp5","nav_sp1","nav_sp2","nav_sp3","nav_sp4","nav_sp5"
1328.33,1.65,1.79,2.51,6.88,5.47,6.99,10.13,19.84,4.69,16.4,5.09,29.09,6.38,22.57,5.35,9.02,12.05,9.21,-7.03,8.14741817130058
1302.89,0.55,3.45,5.33,7.77,7.75,-1.03,2.98,11.73,8.55,20.14,5.75,-18.82,-3.23,33.9,10.29,6.86,14.64,9.74,52.65,-1.5507684636645
1717.24,1.26,3.74,3.76,2.71,-5.08,3.6,8.79,11.02,-10.5,-7.88,34.46,18.26,17.17,20.72,-6.71,2.74,22.37,28.08,51.19,60.7255254741622
1348.27,0.83,-0.64,1.72,6.93,8.79,19.6,-5.28,2.36,4.67,-0.34,16.2,15.01,-12.5,45.63,-14.29,17.98,20.84,9.58,-12.53,34.2429190623513
1315.34,1.68,-1.36,-2.31,1.84,-3.1,6.31,-3.94,3.95,4.74,7.92,4.71,12.47,16.02,28.17,41.41,-10.97,38.04,12.19,-11.89,55.5711749351992
1289.92,1.46,0.63,1.94,13.16,11.46,19.52,7.03,5.53,15.36,10.74,10.55,9.52,7.48,6.15,32,26.08,23.66,46.8,8.52,46.7180192511925
1272.86,0.52,1.98,-1.08,6.8,0.25,4.98,6.3,5.71,15.33,3.22,8.73,3.71,30.24,12.13,17.91,26.17,23.9,45.79,12.33,30.3226071833715
1335.97,1.65,3.17,0.09,7.09,-2.32,6.26,-1.83,-0.61,-3.27,2.3,17.34,18.56,11.41,17.98,22.59,-7.51,6.35,9.83,28.6,29.6887274108719
1308.73,0.61,1.75,6.28,5.6,5.85,-5.58,18.14,15.23,12.13,14.79,11.04,17.63,24.48,29.56,27.65,-3.25,7.46,-1.18,21.12,21.96892119899
1227.95,-1.25,2.68,3.76,6.42,10.6,1.05,-2.72,6.97,17.25,19.08,1.71,5.27,45.79,2.84,34.33,15.48,0.86,-12.73,10.52,8.65641067481097
1295.24,-0.53,-2.25,1.78,3.13,12.51,14.81,4.75,19.76,9.98,-13.01,8.31,22.46,-0.12,5.79,13.9,13.49,11.15,3.82,7.64,12.981426224156
1336.6,0.15,4.85,-2.04,3.79,4.28,5.75,1.09,1.2,11.62,23.05,17.18,11.47,16.76,-12.83,15.32,-8.74,11.76,5.59,-9.79,55.110427933973
1302.76,-1.34,-0.64,3.44,3.42,8.01,-0.75,7.75,-6.24,1.57,16.69,9.22,8.75,11.96,7.66,-13.51,16.94,30.83,-5.22,41.06,-8.42000134783378
1314.91,1.77,5.53,1.44,4.55,8.47,8.03,4.79,15.37,9.78,18.12,9.1,28.87,8.83,24.31,10.38,33.72,-8.65,15.42,12.52,5.98322444612476
1337.6,0.67,0.7,4.85,10.18,4.35,-3.46,12.68,-5.34,9.02,16.65,13.42,6.16,25.71,-4.79,6.93,-10.48,13.46,16.84,37.37,16.9631056094174
1366.99,-0.29,5.98,5.44,0.88,-5.12,5.94,10.08,19.14,1.91,4.67,20.77,5.13,10.14,22.21,16.76,27.99,18.44,24.31,13.26,19.8070954654759
1308.07,-0.51,-0.26,-3.81,5.81,0.76,0.11,4.41,1.92,17.65,-12.61,18.15,-9.63,11.9,-9.77,1.18,60.32,-22.53,29.58,38.7,24.9848726351996
1290.41,0.2,2.68,7.55,0.1,4.45,-5.04,9.48,10.42,15.12,-4.89,4.35,22.36,7.38,-4.1,-3.53,5.27,-0.25,-2.75,32.04,41.7790828947782
1305.69,0.09,3.09,1.89,5.66,9.19,-0.83,9.07,-7.04,-4.25,20.21,3.23,18.23,-0.84,37.17,-3.51,21.61,0.06,47.31,-12.51,-12.1224006566429
1298.86,1.93,1.07,6.77,5.16,-3.33,-4.7,20.44,3.04,8.17,15.59,12.2,26.39,4.8,17.63,24.46,42.45,17.22,4.55,16.64,8.88118484109238
1309.06,1.15,1.72,6.77,-0.91,4.35,3.38,12.36,7.3,12.59,1.14,13.54,-8.52,0.14,30.19,-3.91,45.92,12.18,4.73,49.28,6.26867140136651
1174.62,1.12,1.62,6.37,10.62,0.56,-2.24,15.15,4.39,23.93,-10.64,9.69,-6.17,18.48,-3.12,-9.23,30.72,21.41,29.49,-10.85,0.629856464469299
1303.86,0.66,0.35,-0.8,-1.67,8.13,3.14,-0.69,25.68,6.94,23.8,5.89,5.76,27.22,17.8,30.06,24.73,42.35,6.72,37.41,27.1584226671386
1291.07,1.43,3.49,3.52,-0.83,4.88,14.36,5.62,0.15,7.71,2.38,-1.5,24.7,-13.26,26.39,37.22,41.44,15.63,44.53,10.83,10.9857877191334
1403.49,0.79,1.98,6.33,6.92,10,7.18,4.17,12.95,21.04,35.77,26.67,1.97,47.9,-8.79,25.33,-3.07,12.28,-1.28,16.92,32.5431737408108
1470.18,-0.12,1.15,2.19,4.59,13.87,15.59,9.54,15.65,-1.3,17.71,26.33,13.17,24.25,26.33,34.12,31.89,11.27,3.83,-4.03,10.2888116013459
